wheel_id,flange_height,flange_width,qr,tread_wear,rim_thickness,wheel_diameter,date
1331,32.27,30.08,10.52,2.27,75.25,1220.5,61
8608,31.34,31.71,10.42,1.34,57.23,1184.46,61
8609,31.3,30.85,8.36,1.3,56.35,1182.7,61
8612,31.24,28.07,8.74,1.24,73.01,1216.03,61
8613,30.42,29.37,10.13,0.42,72.05,1214.11,61
8614,32.5,28.49,7.79,2.5,76.67,1223.35,61
8615,28.08,30.09,8.27,-1.92,75.21,1220.41,61
8616,32.22,30.33,9.43,2.22,73.73,1217.45,61
8625,30.6,31.17,10.51,0.6,70.12,1210.24,61
8618,30.42,31.86,10.66,0.42,79.1,1228.2,61
8619,30.57,31.23,10.51,0.57,78.63,1227.27,61
8620,29.9,28.43,9.54,-0.1,68.49,1206.98,61
8621,29.94,30.12,8.22,-0.06,69.23,1208.46,61
8622,30.29,31.52,11.03,0.29,72.45,1214.9,61
8623,30.49,32.1,10.75,0.49,71.55,1213.1,61
8626,30.36,31.41,11.48,0.36,75.68,1221.36,61
8607,28.81,29.64,9.06,-1.19,66.82,1203.64,61
8606,30.44,28.02,7.66,0.44,65.38,1200.76,61
8605,29.67,29.67,9.98,-0.33,64.11,1198.23,61
8604,29.91,27.44,7.22,-0.09,61.87,1193.74,61
1330,32.45,31.45,10.85,2.45,74.08,1218.15,61
8610,30.51,29.96,9.54,0.51,67.77,1205.55,61
1328,31.67,29.8,9.72,1.67,75.29,1220.57,61
1329,30.96,27.69,8.25,0.96,73.74,1217.48,61
8611,30.08,29.03,8.11,0.08,65.58,1201.16,61
1332,31.06,27.86,8.7,1.06,78.1,1226.19,61
1334,31.53,27.86,8.78,1.53,76.75,1223.49,61
8627,30.46,32.42,10.48,0.46,75.78,1221.56,61
1335,31.21,29.92,10.09,1.21,78.45,1226.91,61
1337,30.85,28.04,8.49,0.85,75.26,1220.52,61
1338,31.45,27.33,8.55,1.45,78.56,1227.12,61
1339,31.1,27.03,7.85,1.1,75.95,1221.89,61
1340,31.46,29.75,11.1,1.46,75.47,1220.94,61
1341,32.17,30.81,12.73,2.17,72.65,1215.3,61
1342,30.39,26.52,7.37,0.39,78.62,1227.24,61
1343,30.36,26.07,7.79,0.36,76.82,1223.65,61
1336,30.61,27.48,8.13,0.61,75.91,1221.82,61
8617,30.14,30.67,9.18,0.14,76.51,1223.02,61
8624,29.62,32.37,11.56,-0.38,71.3,1212.6,61
1333,32.34,30.24,10.01,2.34,77.7,1225.4,61
